title,creator,subjects,publisher,publicationyear,checkoutmonth,checkoutyear,checkouts,materialtype,usageclass,checkouttype
The house of unexpected sisters / Alexander McCall Smith.,"McCall Smith, Alexander","Ramotswe Precious Fictitious character Fiction, Women private investigators Botswana Fiction, No 1 Ladies Detective Agency Imaginary organization Fiction, Botswana Fiction, Detective and mystery fiction",Pantheon,2017,11,2017,609,BOOK,Physical,Horizon
The great alone / Kristin Hannah.,"Hannah, Kristin","Moving Household Fiction, Families Fiction, Abusive men Fiction, Ex prisoners of war Fiction, Wilderness survival Fiction, Alaska Fiction, Historical fiction, Domestic fiction",St. Martin's Press,2018,3,2018,608,BOOK,Physical,Horizon
"Doubt [videorecording] / Miramax Films ; produced by Scott Rudin, Mark Roybal ; written for the screen and directed by John Patrick Shanley.",,"Catholic Church Clergy Drama, School principals Drama, Nuns Drama, Malicious accusation Drama, Child abuse Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Detective and mystery films",Buena Vista Home Entertainment,2009,12,2009,606,VIDEODISC,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,5,2017,606,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,4,2018,605,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,11,2017,602,MIXED,Physical,Horizon
The ninth hour / Alice McDermott.,"McDermott, Alice","Widows New York State New York Fiction, Nuns New York State New York Fiction, Domestic fiction, Historical fiction","Farrar, Straus and Giroux",2017,1,2018,601,BOOK,Physical,Horizon
Sunburn : a novel / Laura Lippman.,"Lippman, Laura","Murder Fiction, Delaware Fiction, Psychological fiction, Thrillers Fiction",William Morrow,2018,3,2018,600,BOOK,Physical,Horizon
Warlight / Michael Ondaatje.,"Ondaatje, Michael","Brothers and sisters Fiction, London England Fiction, Abandoned children Fiction, Historical fiction",Alfred A. Knopf,2018,6,2018,599,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,12,2017,598,MIXED,Physical,Horizon
The river of consciousness / by Oliver Sacks.,"Sacks, Oliver","Consciousness, Neuropsychology, Creative ability",Alfred A. Knopf,2017,12,2017,596,BOOK,Physical,Horizon
Evicted : poverty and profit in the American city / Matthew Desmond.,"Desmond, Matthew","Low income housing United States, Eviction United States, Poverty United States, Profit United States, Cities and towns United States",Crown Publishers,2016,12,2017,595,BOOK,Physical,Horizon
The hate u give / Angie Thomas.,"Thomas, Angie","Witnesses Juvenile fiction, African Americans Juvenile fiction, Race relations Juvenile fiction, Police shootings Juvenile fiction, Police community relations Juvenile fiction, Young adult fiction",Balzer and Bray,2017,1,2018,595,BOOK,Physical,Horizon
Educated : a memoir / Tara Westover.,"Westover, Tara","Westover Tara Family, Women Idaho Biography, Survivalism Idaho Biography, Home schooling Idaho Anecdotes, Women college students United States Biography, Victims of family violence Idaho Biography, Adult children of dysfunctional families Idaho Biography, Subculture Idaho, Idaho Rural conditions Anecdotes, Idaho Biography, Autobiographies",Random House,2018,5,2018,593,BOOK,Physical,Horizon
"Michael Clayton [videorecording] / Warner Bros. Pictures presents in association with Samuels Media and Castle Rock Entertainment a Mirage Enterprises/Section Eight production ; produced by Jennifer Fox, Kerry Orent, Sydney Pollack, Steve Samuels ; written and directed by Tony Gilroy.",,"Corporate lawyers New York State New York Drama, Class actions Civil procedure New York State New York Drama, Law firms New York State New York Drama, Corporate lawyers Malpractice Drama, New York N Y Drama, Feature films, Legal films, Video recordings for the hearing impaired, Thrillers Motion pictures",Warner Bros.,2008,8,2008,592,VIDEODISC,Physical,Horizon
"Burn after reading [videorecording] / Focus Features ; Working Title ; in association with StudioCanal and Relativity Media ; produced, written and directed by Joel Coen and Ethan Coen.",,"United States Central Intelligence Agency Drama, Adultery Drama, Extortion Drama, Fiction films, Gangster films, Video recordings for the hearing impaired, Feature films, Comedy films",Universal Studios,2008,6,2009,591,VIDEODISC,Physical,Horizon
The woman in the window / A.J. Finn.,"Finn, A. J.","Recluses New York State New York Fiction, Families New York State New York Fiction, Thrillers Fiction",William Morrow,2018,3,2018,589,BOOK,Physical,Horizon
"Juno [videorecording] / Fox Searchlight Pictures ; a Mandate Pictures/Mr. Mudd production ; produced by Lianne Halfon, John Malkovich, Mason Novick, Russell Smith ; written by Diablo Cody ; directed by Jason Reitman.",,"Teenage pregnancy Drama, Adoption Drama, Teenagers Drama, Feature films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,12,2008,588,VIDEODISC,Physical,Horizon
"Juno [videorecording] / Fox Searchlight Pictures ; a Mandate Pictures/Mr. Mudd production ; produced by Lianne Halfon, John Malkovich, Mason Novick, Russell Smith ; written by Diablo Cody ; directed by Jason Reitman.",,"Teenage pregnancy Drama, Adoption Drama, Teenagers Drama, Feature films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,10,2008,587,VIDEODISC,Physical,Horizon
The house of unexpected sisters / Alexander McCall Smith.,"McCall Smith, Alexander","Ramotswe Precious Fictitious character Fiction, Women private investigators Botswana Fiction, No 1 Ladies Detective Agency Imaginary organization Fiction, Botswana Fiction, Detective and mystery fiction",Pantheon,2017,12,2017,587,BOOK,Physical,Horizon
No time to spare : thinking about what matters / Ursula K. Le Guin ; [introduction by Karen Joy Fowler].,"Le Guin, Ursula K.","Aging, Old age, Literature, United States Civilization, Essays",Houghton Mifflin Harcourt,2017,1,2018,586,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,10,2017,582,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,2,2018,581,MIXED,Physical,Horizon
"Doubt [videorecording] / Miramax Films ; produced by Scott Rudin, Mark Roybal ; written for the screen and directed by John Patrick Shanley.",,"Catholic Church Clergy Drama, School principals Drama, Nuns Drama, Malicious accusation Drama, Child abuse Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Detective and mystery films",Buena Vista Home Entertainment,2009,5,2009,580,VIDEODISC,Physical,Horizon
Clock dance / Anne Tyler.,"Tyler, Anne","Families Fiction, Widows Fiction, Life change events Fiction, Baltimore Md Fiction, Domestic fiction",Alfred A. Knopf,2018,8,2018,580,BOOK,Physical,Horizon
We were eight years in power : an American tragedy / Ta-Nehisi Coates.,"Coates, Ta-Nehisi","Obama Barack, African Americans Social conditions 21st century, United States Politics and government 2009 2017, United States Social conditions 21st century, United States Race relations",One World,2017,11,2017,579,BOOK,Physical,Horizon
"Juno [videorecording] / Fox Searchlight Pictures ; a Mandate Pictures/Mr. Mudd production ; produced by Lianne Halfon, John Malkovich, Mason Novick, Russell Smith ; written by Diablo Cody ; directed by Jason Reitman.",,"Teenage pregnancy Drama, Adoption Drama, Teenagers Drama, Feature films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,7,2008,578,VIDEODISC,Physical,Horizon
The fifth risk / Michael Lewis.,"Lewis, Michael","United States Politics and government 2017, Administrative agencies United States Management, Government executives United States, Public administration United States, Civil service United States",W.W. Norton & Company,2018,10,2018,578,BOOK,Physical,Horizon
"Rachel getting married [videorecording] / Sony Pictures Classics ; a Clinica Estetico production in association with Marc Platt Productions ; directed by Jonathan Demme ; produced by Neda Armian, Jonathan Demme, Marc Platt ; written by Jenny Lumet.",,"Drug abuse Treatment Drama, Weddings Drama, Dysfunctional families Drama, Sisters Drama, Video recordings for the hearing impaired, Feature films, Fiction films",Sony Pictures Home Entertainment,2009,12,2009,577,VIDEODISC,Physical,Horizon
"Arrival / Paramount Pictures ; Filmnation Entertainment ; Lava Bear ; 21 Laps Entertainment ; produced by Shawn Levy, Dan Levine, Aaron Ryder, David Linde ; screenplay by Eric Heisserer ; directed by Denis Villeneuve.",,"Human alien encounters Drama, Fiction films, Science fiction films, Feature films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Paramount Pictures,2017,4,2017,577,VIDEODISC,Physical,Horizon
The ninth hour / Alice McDermott.,"McDermott, Alice","Widows New York State New York Fiction, Nuns New York State New York Fiction, Domestic fiction, Historical fiction","Farrar, Straus and Giroux",2017,12,2017,577,BOOK,Physical,Horizon
The immortalists / Chloe Benjamin.,"Benjamin, Chloe","Brothers and sisters Fiction, Fortune tellers Fiction, Families Fiction, Fate and fatalism Fiction, Aging Fiction, Magicians Fiction, Domestic fiction",G.P. Putnam's Sons,2018,3,2018,577,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,6,2017,576,MIXED,Physical,Horizon
The whole30 fast & easy : 150 simply delicious everday recipes for your Whole30 / Melissa Hartwig ; photography by Ghazalle Badiozamani.,"Hartwig, Melissa","Diet therapy Popular works, Nutrition Popular works, Food habits Popular works, Self care Health Popular works, Weight loss Popular works, Reducing diets Recipes, Cookbooks",Houghton Mifflin Harcourt,2017,1,2018,576,BOOK,Physical,Horizon
Educated : a memoir / Tara Westover.,"Westover, Tara","Westover Tara Family, Women Idaho Biography, Survivalism Idaho Biography, Home schooling Idaho Anecdotes, Women college students United States Biography, Victims of family violence Idaho Biography, Adult children of dysfunctional families Idaho Biography, Subculture Idaho, Idaho Rural conditions Anecdotes, Idaho Biography, Autobiographies",Random House,2018,7,2018,576,BOOK,Physical,Horizon
